ICD10,ICD10_Numeric
02HA0QZ,1
02HA3QZ,2
02HA4QZ,3
02YA0Z0,4
02YA0Z1,5
02YA0Z2,6
02HA0RS,7
02HA0RZ,8
02HA3RS,9
02HA4RS,10
02HA4RZ,11
02WA0QZ,12
02WA0RZ,13
02WA3QZ,14
02WA3RZ,15
02WA4QZ,16
02WA4RZ,17
5A15223,18
0B110F4,19
0B110Z4,20
0B114F4,21
0B114Z4,22
0B113F4,23
0B113Z4,24
5A1955Z,25
0FY00Z0,26
0FY00Z1,27
0FY00Z2,28
0DY80Z0,29
0DY80Z1,30
0DY80Z2,31
0DYE0Z0,32
0DYE0Z1,33
0DYE0Z2,34
30230G1,35
30230X0,36
30230X1,37
30230Y1,38
30233G1,39
30233X0,40
30233X1,41
30233Y1,42
30240G1,43
30240X0,44
30240X1,45
30240Y1,46
30243G1,47
30243X0,48
30243X1,49
30243Y1,50
30250G1,51
30250X0,52
30250X1,53
30250Y1,54
30253G1,55
30253X0,56
30253X1,57
30253Y1,58
30260G1,59
30260X0,60
30260X1,61
30260Y1,62
30263G1,63
30263X0,64
30263X1,65
30263Y1,66
0BYC0Z0,67
0BYC0Z1,68
0BYC0Z2,69
0BYD0Z0,70
0BYD0Z1,71
0BYD0Z2,72
0BYF0Z0,73
0BYF0Z1,74
0BYF0Z2,75
0BYG0Z0,76
0BYG0Z1,77
0BYG0Z2,78
0BYH0Z0,79
0BYH0Z1,80
0BYH0Z2,81
0BYJ0Z0,82
0BYJ0Z1,83
0BYJ0Z2,84
0BYK0Z0,85
0BYK0Z1,86
0BYK0Z2,87
0BYL0Z0,88
0BYL0Z1,89
0BYL0Z2,90
0BYM0Z0,91
0BYM0Z1,92
0BYM0Z2,93
0TY00Z0,94
0TY00Z1,95
0TY00Z2,96
0TY10Z0,97
0TY10Z1,98
0TY10Z2,99
I120,100
I1311,101
I132,102
N181,103
N182,104
N183,105
N184,106
N185,107
N186,108
N189,109
Z940,110
Z9649,111
Z9689,112
Z969,113
E0800,114
E0801,115
E0810,116
E0811,117
E0821,118
E0822,119
E0829,120
E08311,121
E08319,122
E08321,123
E08329,124
E08331,125
E08339,126
E08341,127
E08349,128
E08351,129
E08359,130
E0836,131
E0839,132
E0840,133
E0841,134
E0842,135
E0843,136
E0844,137
E0849,138
E0851,139
E0852,140
E0859,141
E08610,142
E08618,143
E08620,144
E08621,145
E08622,146
E08628,147
E08630,148
E08638,149
E08641,150
E08649,151
E0865,152
E0869,153
E088,154
E089,155
E0900,156
E0901,157
E0910,158
E0911,159
E0921,160
E0922,161
E0929,162
E09311,163
E09319,164
E09321,165
E09329,166
E09331,167
E09339,168
E09341,169
E09349,170
E09351,171
E09359,172
E0936,173
E0939,174
E0940,175
E0941,176
E0942,177
E0943,178
E0944,179
E0949,180
E0951,181
E0952,182
E0959,183
E09610,184
E09618,185
E09620,186
E09621,187
E09622,188
E09628,189
E09630,190
E09638,191
E09641,192
E09649,193
E0965,194
E0969,195
E098,196
E099,197
E1010,198
E1011,199
E1021,200
E1022,201
E1029,202
E10311,203
E10319,204
E10321,205
E10329,206
E10331,207
E10339,208
E10341,209
E10349,210
E10351,211
E10359,212
E1036,213
E1039,214
E1040,215
E1041,216
E1042,217
E1043,218
E1044,219
E1049,220
E1051,221
E1052,222
E1059,223
E10610,224
E10618,225
E10620,226
E10621,227
E10622,228
E10628,229
E10630,230
E10638,231
E10641,232
E10649,233
E1065,234
E1069,235
E108,236
E109,237
E1100,238
E1101,239
E1121,240
E1122,241
E1129,242
E11311,243
E11319,244
E11321,245
E11329,246
E11331,247
E11339,248
E11341,249
E11349,250
E11351,251
E11359,252
E1136,253
E1139,254
E1140,255
E1141,256
E1142,257
E1143,258
E1144,259
E1149,260
E1151,261
E1152,262
E1159,263
E11610,264
E11618,265
E11620,266
E11621,267
E11622,268
E11628,269
E11630,270
E11638,271
E11641,272
E11649,273
E1165,274
E1169,275
E118,276
E119,277
E1300,278
E1301,279
E1310,280
E1311,281
E1321,282
E1322,283
E1329,284
E13311,285
E13319,286
E13321,287
E13329,288
E13331,289
E13339,290
E13341,291
E13349,292
E13351,293
E13359,294
E1336,295
E1339,296
E1340,297
E1341,298
E1342,299
E1343,300
E1344,301
E1349,302
E1351,303
E1352,304
E1359,305
E13610,306
E13618,307
E13620,308
E13621,309
E13622,310
E13628,311
E13630,312
E13638,313
E13641,314
E13649,315
E1365,316
E1369,317
E138,318
E139,319
E891,320
30230AZ,321
30230G0,322
30230Y0,323
30233AZ,324
30233G0,325
30233Y0,326
30240AZ,327
30240G0,328
30240Y0,329
30243AZ,330
30243G0,331
30243Y0,332
30250G0,333
30250Y0,334
30253G0,335
30253Y0,336
30260G0,337
30260Y0,338
30263G0,339
30263Y0,340
0FYG0Z0,341
0FYG0Z1,342
0FYG0Z2,343
0CTS0ZZ,344
0CTS4ZZ,345
0CTS7ZZ,346
0CTS8ZZ,347
A360,348
A361,349
A362,350
A545,351
A564,352
A665,353
A690,354
A691,355
B002,356
B085,357
B370,358
B3783,359
C000,360
C001,361
C002,362
C003,363
C004,364
C005,365
C006,366
C008,367
C009,368
C01,369
C020,370
C021,371
C022,372
C023,373
C024,374
C028,375
C029,376
C030,377
C031,378
C039,379
C040,380
C041,381
C048,382
C049,383
C050,384
C051,385
C052,386
C058,387
C059,388
C060,389
C061,390
C062,391
C0680,392
C0689,393
C069,394
C07,395
C080,396
C081,397
C089,398
C090,399
C091,400
C098,401
C099,402
C100,403
C101,404
C102,405
C103,406
C104,407
C108,408
C109,409
C110,410
C111,411
C112,412
C113,413
C118,414
C119,415
C12,416
C130,417
C131,418
C132,419
C138,420
C139,421
C140,422
C142,423
C148,424
C300,425
C301,426
C310,427
C311,428
C312,429
C313,430
C318,431
C319,432
C320,433
C321,434
C322,435
C323,436
C328,437
C329,438
C390,439
C411,440
C4400,441
C4401,442
C4402,443
C4409,444
C462,445
C73,446
C760,447
C770,448
C8101,449
C8111,450
C8121,451
C8131,452
C8141,453
C8171,454
C8191,455
C8201,456
C8211,457
C8221,458
C8231,459
C8241,460
C8251,461
C8261,462
C8281,463
C8291,464
C8301,465
C8331,466
C8351,467
C8371,468
C8381,469
C8391,470
C8401,471
C8411,472
C8491,473
C84A1,474
C84Z1,475
C8511,476
C8521,477
C8581,478
C8591,479
C860,480
C9140,481
C960,482
C962,483
C969,484
C96A,485
D0000,486
D0001,487
D0002,488
D0003,489
D0004,490
D0005,491
D0006,492
D0007,493
D0008,494
D020,495
D100,496
D101,497
D102,498
D1030,499
D1039,500
D104,501
D105,502
D106,503
D107,504
D109,505
D110,506
D117,507
D119,508
D140,509
D141,510
D164,511
D165,512
D1800,513
D1801,514
D1809,515
D34,516
D3701,517
D3702,518
D37030,519
D37031,520
D37032,521
D37039,522
D3704,523
D3705,524
D3709,525
D380,526
E034,527
E041,528
E0500,529
E0501,530
E0510,531
E0511,532
E0520,533
E0521,534
E0530,535
E0531,536
E0540,537
E0541,538
E0580,539
E0581,540
E0590,541
E0591,542
E060,543
E061,544
E062,545
E063,546
E064,547
E065,548
E069,549
E0789,550
E079,551
E35,552
G4720,553
G4721,554
G4722,555
G4723,556
G4724,557
G4725,558
G4726,559
G4727,560
G4729,561
G4730,562
G4731,563
G4732,564
G4733,565
G4734,566
G4735,567
G4736,568
G4737,569
G4739,570
G4750,571
G4751,572
G4752,573
G4753,574
G4754,575
G4759,576
G4761,577
G4762,578
G4763,579
G4769,580
G478,581
J00,582
J020,583
J028,584
J029,585
J0300,586
J0301,587
J0380,588
J0381,589
J0390,590
J0391,591
J040,592
J042,593
J0430,594
J0431,595
J050,596
J0510,597
J0511,598
J060,599
J069,600
J311,601
J312,602
J342,603
J3501,604
J3502,605
J3503,606
J351,607
J352,608
J353,609
J358,610
J359,611
J36,612
J370,613
J371,614
J3800,615
J3801,616
J3802,617
J381,618
J382,619
J383,620
J384,621
J385,622
J386,623
J387,624
J390,625
J391,626
J392,627
J393,628
J398,629
J399,630
J9500,631
J9501,632
J9502,633
J9503,634
J9504,635
J9509,636
J9801,637
J9809,638
K000,639
K001,640
K002,641
K003,642
K004,643
K005,644
K006,645
K007,646
K008,647
K009,648
K010,649
K011,650
K023,651
K0251,652
K0252,653
K0253,654
K0261,655
K0262,656
K0263,657
K027,658
K029,659
K030,660
K031,661
K032,662
K033,663
K034,664
K035,665
K036,666
K037,667
K0381,668
K0389,669
K039,670
K040,671
K041,672
K042,673
K043,674
K044,675
K045,676
K046,677
K047,678
K048,679
K0490,680
K0499,681
K0500,682
K0501,683
K0510,684
K0511,685
K0520,686
K0521,687
K0522,688
K0530,689
K0531,690
K0532,691
K054,692
K055,693
K056,694
K060,695
K061,696
K062,697
K068,698
K069,699
K080,700
K08101,701
K08102,702
K08103,703
K08104,704
K08109,705
K08111,706
K08112,707
K08113,708
K08114,709
K08119,710
K08121,711
K08122,712
K08123,713
K08124,714
K08129,715
K08131,716
K08132,717
K08133,718
K08134,719
K08139,720
K08191,721
K08192,722
K08193,723
K08194,724
K08199,725
K0820,726
031H09G,727
031H0AG,728
031H0JG,729
031H0KG,730
031H0ZG,731
031J09G,732
031J0AG,733
031J0JG,734
031J0KG,735
031J0ZG,736
031S09G,737
031S0AG,738
031S0JG,739
031S0KG,740
031S0ZG,741
031T09G,742
031T0AG,743
031T0JG,744
031T0KG,745
031T0ZG,746
035G0ZZ,747
035G3ZZ,748
035G4ZZ,749
03BG0ZZ,750
03BG3ZZ,751
03BG4ZZ,752
03CG0ZZ,753
03CG4ZZ,754
03LG0BZ,755
03LG0CZ,756
03LG0DZ,757
03LG0ZZ,758
03LG3BZ,759
03LG3CZ,760
03LG3DZ,761
03LG3ZZ,762
03LG4BZ,763
03LG4CZ,764
03LG4DZ,765
03LG4ZZ,766
03LH0BZ,767
03LH0DZ,768
03LH3BZ,769
03LH3DZ,770
03LH4BZ,771
03LH4DZ,772
03LJ0BZ,773
03LJ0DZ,774
03LJ3BZ,775
03LJ3DZ,776
03LJ4BZ,777
03LJ4DZ,778
03LK0BZ,779
03LK0CZ,780
03LK0DZ,781
03LK0ZZ,782
03LK3BZ,783
03LK3CZ,784
03LK3DZ,785
03LK3ZZ,786
03LK4BZ,787
03LK4CZ,788
03LK4DZ,789
03LK4ZZ,790
03LL0BZ,791
03LL0CZ,792
03LL0DZ,793
03LL0ZZ,794
03LL3BZ,795
03LL3CZ,796
03LL3DZ,797
03LL3ZZ,798
03LL4BZ,799
03LL4CZ,800
03LL4DZ,801
03LL4ZZ,802
03LM0BZ,803
03LM0DZ,804
03LM3BZ,805
03LM3DZ,806
03LM4BZ,807
03LM4DZ,808
03LN0BZ,809
03LN0DZ,810
03LN3BZ,811
03LN3DZ,812
03LN4BZ,813
03LN4DZ,814
03LP0BZ,815
03LP0DZ,816
03LP3BZ,817
03LP3DZ,818
03LP4BZ,819
03LP4DZ,820
03LQ0BZ,821
03LQ0DZ,822
03LQ3BZ,823
03LQ3DZ,824
03LQ4BZ,825
03LQ4DZ,826
03LR0DZ,827
03LR3DZ,828
03LR4DZ,829
03LS0DZ,830
03LS3DZ,831
03LS4DZ,832
03LT0DZ,833
03LT3DZ,834
03LT4DZ,835
03RG07Z,836
03RG0JZ,837
03RG0KZ,838
03RG47Z,839
03RG4JZ,840
03RG4KZ,841
03VG0BZ,842
03VG0CZ,843
03VG0DZ,844
03VG0ZZ,845
03VG3BZ,846
03VG3CZ,847
03VG3DZ,848
03VG3ZZ,849
03VG4BZ,850
03VG4CZ,851
03VG4DZ,852
03VG4ZZ,853
03VH0BZ,854
03VH0DZ,855
03VH3BZ,856
03VH3DZ,857
03VH4BZ,858
03VH4DZ,859
03VJ0BZ,860
03VJ0DZ,861
03VJ3BZ,862
03VJ3DZ,863
03VJ4BZ,864
03VJ4DZ,865
03VK0BZ,866
03VK0CZ,867
03VK0DZ,868
03VK3BZ,869
03VK3CZ,870
03VK3DZ,871
03VK4BZ,872
03VK4CZ,873
03VK4DZ,874
03VL0BZ,875
03VL0CZ,876
03VL0DZ,877
03VL3BZ,878
03VL3CZ,879
03VL3DZ,880
03VL4BZ,881
03VL4CZ,882
03VL4DZ,883
03VM0BZ,884
03VM0DZ,885
03VM3BZ,886
03VM3DZ,887
03VM4BZ,888
03VM4DZ,889
03VN0BZ,890
03VN0DZ,891
03VN3BZ,892
03VN3DZ,893
03VN4BZ,894
03VN4DZ,895
03VP0BZ,896
03VP0DZ,897
03VP3BZ,898
03VP3DZ,899
03VP4BZ,900
03VP4DZ,901
03VQ0BZ,902
03VQ0DZ,903
03VQ3BZ,904
03VQ3DZ,905
03VQ4BZ,906
03VQ4DZ,907
03VR0DZ,908
03VR3DZ,909
03VR4DZ,910
03VS0DZ,911
03VS3DZ,912
03VS4DZ,913
03VT0DZ,914
03VT3DZ,915
03VT4DZ,916
03VU0DZ,917
03VU3DZ,918
03VU4DZ,919
03VV0DZ,920
03VV3DZ,921
03VV4DZ,922
055L0ZZ,923
055L3ZZ,924
055L4ZZ,925
05BL0ZZ,926
05BL3ZZ,927
05BL4ZZ,928
05CL0ZZ,929
05CL4ZZ,930
05LL0CZ,931
05LL0DZ,932
05LL0ZZ,933
05LL3CZ,934
05LL3DZ,935
05LL3ZZ,936
05LL4CZ,937
05LL4DZ,938
05LL4ZZ,939
05RL07Z,940
05RL0JZ,941
05RL0KZ,942
05RL47Z,943
05RL4JZ,944
05RL4KZ,945
05VL0CZ,946
05VL0DZ,947
05VL0ZZ,948
05VL3CZ,949
05VL3DZ,950
05VL3ZZ,951
05VL4CZ,952
05VL4DZ,953
05VL4ZZ,954
I6000,955
I6001,956
I6002,957
I6010,958
I6011,959
I6012,960
I6020,961
I6021,962
I6022,963
I6030,964
I6031,965
I6032,966
I604,967
I6050,968
I6051,969
I6052,970
I606,971
I607,972
I608,973
I609,974
I610,975
I611,976
I612,977
I613,978
I614,979
I615,980
I616,981
I618,982
I619,983
I6200,984
I6201,985
I6202,986
I6203,987
I621,988
I629,989
001607B,990
00160JB,991
00160KB,992
001637B,993
00163JB,994
00163KB,995
00500ZZ,996
00503ZZ,997
00504ZZ,998
00510ZZ,999
00513ZZ,1000
00514ZZ,1001
00520ZZ,1002
