,Zip,ICD10
0,891,
1,958,
2,920,
3,945,
4,661,
5,936,
6,922,
7,935,
8,933,
9,919,
10,921,
11,956,
12,937,
13,800,
14,980,
15,907,
16,917,
17,900,
18,750,
19,890,
20,953,
21,853,
22,984,
23,973,
24,946,
25,913,
26,952,
27,983,
28,314,
29,932,
30,802,
31,982,
32,760,
33,850,
34,957,
35,785,
36,923,
37,948,
38,954,
39,949,
40,852,
41,799,
42,951,
43,924,
44,645,
45,801,
46,851,
47,925,
48,908,
49,662,
50,985,
51,322,
52,926,
53,641,
54,672,
55,928,
56,761,
57,786,
58,981,
59,939,
60,806,
61,805,
62,660,
63,864,
64,927,
65,809,
66,860,
67,275,
68,666,
69,959,
70,784,
71,774,
72,767,
73,751,
74,640,
75,762,
76,320,
77,960,
78,770,
79,894,
80,752,
81,911,
82,276,
83,754,
84,783,
85,950,
86,918,
87,644,
88,912,
89,313,
90,916,
91,925,16836.0
92,922,
93,922,8997.0
94,100,
95,731,
96,944,
97,23,
98,79,15395.0
99,70,
100,74,
101,950,37655.0
102,74,37746.0
103,950,15066.0
104,943,
105,945,27820.0
106,940,12900.0
107,940,
108,18,
109,78,
110,78,
111,941,
112,974,
113,947,
114,600,
115,940,15243.0
116,941,27820.0
117,554,
118,80,
119,551,
120,540,
121,553,
122,550,
123,79,
124,201,
125,442,
126,151,
127,305,
128,787,
129,146,
130,330,
131,303,
132,301,
133,300,
134,282,
135,174,
136,152,
137,50,
138,37,
139,606,
140,563,
141,273,
142,32,
143,837,
144,160,
145,604,
146,605,
147,467,
148,39,
149,150,
150,189,
151,789,
152,441,
153,554,9138.0
154,156,
155,245,
156,972,
157,773,
158,432,
159,481,
160,33,
161,32,37201.0
162,30,
163,38,
164,302,
165,294,
166,31,
167,530,
168,460,
169,370,
170,161,
171,76,
172,601,
173,482,
174,183,
175,488,
176,77,
177,318,
178,453,
179,494,
180,296,
181,480,
182,492,
183,329,
184,20,
185,321,
186,172,
187,376,
188,323,
189,559,
190,986,
191,840,
192,436,
193,333,
194,373,
195,336,
196,535,
197,421,
198,11,
199,463,
200,328,
201,483,
202,445,
203,895,
204,250,
205,21,
206,29,
207,846,
208,357,
209,281,
210,19,
211,685,
212,140,
213,531,
214,34,
215,238,
216,26,
217,64,
218,125,
219,446,
220,904,
221,630,
222,633,
223,622,
224,153,
225,560,
226,338,
227,24,
228,195,
229,349,
230,454,
231,657,
232,452,
233,995,
234,123,
235,337,
236,532,
237,331,
238,371,
239,631,
240,970,
241,385,
242,391,
243,450,
244,175,
245,902,
246,119,
247,775,
248,707,
249,28,
250,327,
251,490,
252,926,977.0
253,926,9791.0
254,180,
255,905,
256,342,
257,906,
258,60,
259,305,3349.0
260,223,
261,400,
262,959,9293.0
263,190,
264,225,
265,109,
266,440,
267,234,
268,219,
269,708,
270,701,
271,430,
272,193,
273,197,
274,170,
275,81,
276,272,
277,727,
278,85,
279,906,27820.0
280,88,
281,15,
282,71,
283,474,
284,200,
285,334,
286,307,
287,841,
288,83,
289,17,
290,115,
291,335,
292,926,
293,121,
294,372,
295,603,
296,73,
297,290,
298,209,
299,910,
300,914,
301,917,27818.0
302,598,
303,870,
304,989,
305,933,12913.0
306,231,
307,993,
308,928,12687.0
309,933,
310,212,
311,938,
312,194,
313,740,
314,493,
315,608,
316,932,
317,933,3945.0
318,347,
319,978,
320,990,
321,934,
322,626,
323,451,
324,173,
325,339,
326,218,
327,222,
328,111,
329,755,
330,930,
331,859,
332,199,
333,933,3217.0
334,462,
335,534,
336,765,
337,647,
338,434,
339,953,
340,953,
341,123,15324.0
342,977,
343,112,
344,971,
345,847,
346,82,
347,444,
348,961,
349,226,
350,54,
351,975,
352,835,
353,955,
354,838,
355,836,
356,917,974.0
357,913,27796.0
358,915,
359,903,
360,671,
361,671,9138.0
362,670,
363,465,
364,466,
365,465,974.0
366,456,
367,486,
368,484,
369,668,
370,923,23969.0
371,923,9791.0
372,405,
373,925,
374,808,
375,810,
376,803,
377,497,
378,863,
379,210,
380,814,
381,926,16821.0
382,980,30464.0
383,804,
384,557,
385,379,
386,801,36562.0
387,468,
388,224,
389,897,
390,87,
391,141,
392,148,
393,681,
394,547,
395,844,
396,834,
397,295,
398,617,
399,299,
400,207,
401,235,
402,537,
403,435,
404,221,
405,211,
406,124,
407,117,
408,220,
409,812,
410,449,
411,939,3269.0
412,900,15606.0
413,900,34828.0
414,712,
415,594,
416,782,
417,843,
418,356,
419,735,
420,857,
421,325,
422,558,
423,730,
424,590,
425,833,
426,967,
427,527,
428,230,
429,46,
430,979,
431,934,2847.0
432,996,
433,940,955.0
434,584,
435,346,
436,502,
437,386,
438,768,
439,820,
440,721,
441,684,
442,705,
443,758,
444,610,
445,581,
446,748,
447,130,
448,377,
449,992,
450,976,
451,10,
452,477,
