PlcPolicyId,Cigna,Blue_Shield,Blue_Cross,Anthem,Aetna
7042312,1,,,,
7047021,1,,,,
7048704,1,,,,
7048916,1,,,,
7052075,1,,,,
7057694,1,,,,
7058715,1,,,,
7058717,1,,,,
7058872,1,,,,
7061746,1,,,,
7062737,1,,,,
7063846,1,,,,
7064919,1,,,,
7065191,1,,,,
7067331,1,,,,
7068546,1,,,,
7068722,1,,,,
7061238,1,,,,
7067615,1,,,,
7067933,1,,,,
7068023,1,,,,
7068238,1,,,,
7072147,1,,,,
7042559,1,,,,
7043703,1,,,,
7043726,1,,,,
7043785,1,,,,
7044265,1,,,,
7046199,1,,,,
7046243,1,,,,
7047171,1,,,,
7047775,1,,,,
7048320,1,,,,
7048930,1,,,,
7049221,1,,,,
7049475,1,,,,
7049485,1,,,,
7049697,1,,,,
7050215,1,,,,
7051099,1,,,,
7051652,1,,,,
7051690,1,,,,
7051707,1,,,,
7051725,1,,,,
7051950,1,,,,
7052366,1,,,,
7052675,1,,,,
7052794,1,,,,
7053005,1,,,,
7053088,1,,,,
7054042,1,,,,
7054147,1,,,,
7054362,1,,,,
7054391,1,,,,
7054625,1,,,,
7055306,1,,,,
7055779,1,,,,
7056473,1,,,,
7056583,1,,,,
7056589,1,,,,
7056590,1,,,,
7056609,1,,,,
7056640,1,,,,
7056695,1,,,,
7057297,1,,,,
7057300,1,,,,
7057381,1,,,,
7057422,1,,,,
7057645,1,,,,
7057693,1,,,,
7057736,1,,,,
7057757,1,,,,
7058028,1,,,,
7058156,1,,,,
7058248,1,,,,
7058367,1,,,,
7058729,1,,,,
7058847,1,,,,
7058849,1,,,,
7059341,1,,,,
7059532,1,,,,
7059560,1,,,,
7059758,1,,,,
7060043,1,,,,
7060345,1,,,,
7060853,1,,,,
7060915,1,,,,
7061235,1,,,,
7061321,1,,,,
7061887,1,,,,
7062002,1,,,,
7062048,1,,,,
7062258,1,,,,
7062309,1,,,,
7062681,1,,,,
7062839,1,,,,
7063086,1,,,,
7063108,1,,,,
7063518,1,,,,
7063534,1,,,,
7063537,1,,,,
7063576,1,,,,
7063582,1,,,,
7063591,1,,,,
7063735,1,,,,
7064136,1,,,,
7064546,1,,,,
7064680,1,,,,
7064872,1,,,,
7065728,1,,,,
7065777,1,,,,
7067102,1,,,,
7067112,1,,,,
7067739,1,,,,
7067741,1,,,,
7067924,1,,,,
7068883,1,,,,
7069164,1,,,,
7069734,1,,,,
7069762,1,,,,
7069871,1,,,,
7071053,1,,,,
7055844,1,,,,
7056733,1,,,,
7057866,1,,,,
7058275,1,,,,
7058999,1,,,,
7059466,1,,,,
7059525,1,,,,
7061345,1,,,,
7061459,1,,,,
7061757,1,,,,
7062212,1,,,,
7062472,1,,,,
7062598,1,,,,
7063182,1,,,,
7063188,1,,,,
7063364,1,,,,
7063479,1,,,,
7063839,1,,,,
7063943,1,,,,
7064036,1,,,,
7064639,1,,,,
7064667,1,,,,
7064893,1,,,,
7065175,1,,,,
7065322,1,,,,
7065595,1,,,,
7066164,1,,,,
7066335,1,,,,
7066674,1,,,,
7066854,1,,,,
7067215,1,,,,
7067582,1,,,,
7067925,1,,,,
7068011,1,,,,
7068410,1,,,,
7069118,1,,,,
7069245,1,,,,
7069392,1,,,,
7069400,1,,,,
7069450,1,,,,
7069772,1,,,,
7069890,1,,,,
7070162,1,,,,
7063647,,1,,,
7071605,,1,,,
7053991,,1,,,
7057829,,1,,,
7057330,,1,,,
7042672,,1,,,
7043384,,1,,,
7044211,,1,,,
7045415,,1,,,
7045962,,1,,,
7046640,,1,,,
7047619,,1,,,
7047915,,1,,,
7048293,,1,,,
7048815,,1,,,
7048916,,1,,,
7048930,,1,,,
7049761,,1,,,
7050144,,1,,,
7050181,,1,,,
7050215,,1,,,
7050574,,1,,,
7051099,,1,,,
7051314,,1,,,
7052785,,1,,,
7053629,,1,,,
7053679,,1,,,
7053825,,1,,,
7053889,,1,,,
7054033,,1,,,
7054362,,1,,,
7054549,,1,,,
7055306,,1,,,
7055374,,1,,,
7055404,,1,,,
7056023,,1,,,
7056351,,1,,,
7056695,,1,,,
7057422,,1,,,
7057645,,1,,,
7057747,,1,,,
7057757,,1,,,
7057804,,1,,,
7057854,,1,,,
7058214,,1,,,
7058248,,1,,,
7058477,,1,,,
7058583,,1,,,
7058849,,1,,,
7058999,,1,,,
7059011,,1,,,
7059386,,1,,,
7059526,,1,,,
7059538,,1,,,
7059588,,1,,,
7059927,,1,,,
7060532,,1,,,
7060857,,1,,,
7060945,,1,,,
7061234,,1,,,
7061321,,1,,,
7061427,,1,,,
7061466,,1,,,
7061534,,1,,,
7061691,,1,,,
7061733,,1,,,
7061906,,1,,,
7062839,,1,,,
7062914,,1,,,
7063183,,1,,,
7063582,,1,,,
7063690,,1,,,
7063846,,1,,,
7064129,,1,,,
7064382,,1,,,
7064520,,1,,,
7064631,,1,,,
7064680,,1,,,
7064708,,1,,,
7064872,,1,,,
7065118,,1,,,
7065290,,1,,,
7065346,,1,,,
7065414,,1,,,
7065777,,1,,,
7066158,,1,,,
7066581,,1,,,
7066829,,1,,,
7067102,,1,,,
7067925,,1,,,
7069328,,1,,,
7069890,,1,,,
7071029,,1,,,
7071613,,1,,,
7053512,,1,,,
7056869,,1,,,
7057119,,1,,,
7057136,,1,,,
7057397,,1,,,
7057331,,1,,,
7057557,,1,,,
7058275,,1,,,
7059303,,1,,,
7059341,,1,,,
7059514,,1,,,
7059525,,1,,,
7059564,,1,,,
7059887,,1,,,
7060335,,1,,,
7060345,,1,,,
7060775,,1,,,
7061146,,1,,,
7061291,,1,,,
7061300,,1,,,
7061345,,1,,,
7062023,,1,,,
7062032,,1,,,
7062212,,1,,,
7062548,,1,,,
7063065,,1,,,
7063151,,1,,,
7063349,,1,,,
7063364,,1,,,
7063474,,1,,,
7063479,,1,,,
7063518,,1,,,
7063525,,1,,,
7063533,,1,,,
7063537,,1,,,
7063576,,1,,,
7063591,,1,,,
7063839,,1,,,
